Заголовок,Дата публикации,Текст,Автор,Ссылка
Жителей Кирова и области могут оштрафовать за сжигание травы и листьев,"20 апр 2024, 13:57","
В МЧС напомнили о правилах безопасности в пожароопасный период
В связи с объявлением пожароопасного периода в регионе, гражданам напоминают о запрете разводить костры на природе и об особой осторожности в лесах. Прогнозируется сильный ветер с порывами до 17 метров в секунду, что способно быстро распространить искру и вызвать пожар.
В связи с этим важно соблюдать правила пожарной безопасности - не разводить костры, не бросать огоньки и мусор, не жечь траву, так как это может привести к серьезным последствиям. Гражданам напоминают, что за нарушения требований пожарной безопасности предусмотрены штрафы от 5 до 15 тысяч рублей.
Глава минлесхоза региона подчеркнул, что более 90% лесных пожаров происходит из-за неосторожности людей. Поэтому важно следовать простым правилам - не разводить костры в неподготовленных местах, не бросать горящие предметы, не жечь траву и не оставлять мусор в лесу. 
При обнаружении лесного пожара или другого правонарушения важно немедленно сообщить об этом по контактным телефонам службы лесной охраны 8-800-100-94-00, по телефону (8332) 64-34-28 или по единому номеру 112.
 
",Автор: Редакция,https://gorodkirov.ru/news/zhitelej-kirova-i-oblasti-mogut-oshtrafovat-za-szhiganie-travy-i-listev/
Ежегодное повышение цен на проезд в общественном транспорте: общественники поддержали идею,"20 апр 2024, 13:56","
Тарифы не пересматривались с марта 2022 года
На совместном заседании региональной группы общественного контроля за ремонтом дорог и общественных советов при министерстве транспорта и Региональной службе по тарифам Кировской области было обсуждено предложение автоперевозчиков относительно изменения тарифов на пассажирские перевозки. С момента марта 2022 года тарифы не пересматривались.
Представители автотранспортных предприятий выразили растущие затраты на топливо, запчасти и зарплаты сотрудников за последние два года. Увеличение себестоимости перевозок не оправдывается действующим тарифом. Заместитель министра транспорта подчеркнул важность обновления пассажирского транспорта и инфраструктуры для поддержания пассажирских перевозок в регионе.
Руководитель Региональной службы по тарифам отметил, что пересмотр тарифов происходит на основе заявок автоперевозчиков, учитывая их фактические затраты. Обсуждавшиеся проблемы с кадрами и увеличение расходов на дизельное топливо, запасные части и зарплаты будут учтены при принятии решения по тарифам. Общественники поддержали идею рассмотреть возможность ежегодной индексации тарифов на проезд.
 
",Автор: Редакция,https://gorodkirov.ru/news/ezhegodnoe-povyshenie-cen-na-proezd-v-obshestvennom-transporte-obshestvenniki-podderzhali-ideyu/
Кировчане вышли на общегородской субботник,"20 апр 2024, 13:54","
Помимо дворов, жители Кирова прибираются на 20 общественных площадках
Сегодня в областном центре активно проходит общегородской субботник в рамках подготовки к предстоящему юбилею города. Более тысячи жителей вышли на улицы, чтобы принять участие в благоустройстве общественных территорий.
В рамках месячника благоустройства убрали мусор, листву и ветки не только в парке имени Гагарина, но и в парках имени С. М. Кирова и Победы, сквере у памятника Трифону Вятскому, а также Музыкальном сквере. Активисты привели в порядок аллею Октябрьского проспекта и прилегающие к предприятиям и учебным заведениям территории. Общегородские мероприятия по благоустройству прошли на 20 площадках.
К субботникам подключились сотрудники предприятий, студенты, школьники, активисты общественных организаций, сотрудники учреждений. Жители также не остались в стороне, например, в микрорайоне Озерки активисты прибрали дворы и облагородили территории.
 
",Автор: Редакция,https://gorodkirov.ru/news/kirovchane-vyshli-na-obshegorodskoj-subbotnik/
В День Победы кировчан будет охранять более полутора тысяч полицейских,"20 апр 2024, 13:00","
Вход на парад будет осуществляться по пригласительным билетам
В рамках празднования Дня Победы в Кировской области планируется провести более 400 массовых мероприятий, как сообщили в облправительстве.  УМВД по Кировской области уточнило, что на 9 мая более полутора тысяч полицейских, две сотни сотрудников Росгвардии, а также 690 членов общественности будут обеспечивать соблюдение законности. Также в обеспечении правопорядка будут задействованы частные охранные службы, народные дружины и представители казачества.
Вход на площадь будет осуществляться через три КПП: на улицах Преображенской и Карла Маркса, на пересечении улиц Карла Либкнехта и Преображенской, и на перекрестке улиц Спасской и Карла Либкнехта.
Для прохода гарнизона и организованных колонн будут организованы КПП с северного и южного проезда здания правительства Кировской области. Вход на Театральную площадь будет осуществляться по пригласительным билетам.
",Автор: Редакция,https://gorodkirov.ru/news/v-den-pobedy-kirovchan-budet-ohranyat-bolee-polutora-tysyach-policejskih/
В день 650-летия города над Кировом могут закрыть небо,"20 апр 2024, 11:30","
Такая возможность не исключается в целях обеспечения безопасности
По информации, представленной руководителем дирекции по подготовке к юбилею города Алексеем Чепцовым в подкасте «Своё время» на Радио Шансон, во время праздничных гуляний в День города и День молодежи, над Кировом могут закрыть небо.
Планируется, что праздничные концерты, запланированные на 12 и 29 июня, посетят свыше 50 тысяч человек. Для обеспечения безопасности на площадках, где будут проходить мероприятия, будут установлены ограждения.
Глава дирекции отметил, что будет предпринята вся необходимая система безопасности: видеонаблюдение, рамки и другие меры. Также обсуждается возможность закрыть небо над городом во время проведения этих мероприятий.
",Автор: Редакция,https://gorodkirov.ru/news/v-den-650-letiya-goroda-nad-kirovom-mogut-zakryt-nebo/
В Кировской области изменят условия предоставления помощи погорельцам,"20 апр 2024, 10:59","
Это касается соседей, чьи квартиры затопило во время тушения пожара
В результате подписания губернатором Александром Соколовым изменений в постановлении правительства Кировской области будут изменены порядок и условия предоставления материальной помощи погорельцам. 
Теперь новое постановление уточнит основания для получения помощи, включая соседей, чье имущество пострадало от пожара. То есть, если во время тушения пожара соседей залило водой, им также будет оказана материальная помощь. Кроме того, будет изменен перечень необходимых документов.
В прошлом году материальную помощь получили 1241 человек, из них 1233 гражданина при пожарах. В течение первых трех месяцев 2024 года помощь была предоставлена 199 пострадавшим.
 
",Автор: Редакция,https://gorodkirov.ru/news/v-kirovskoj-oblasti-izmenyat-usloviya-predostavleniya-pomoshi-pogorelcam/
Сотни кировчан останутся без воды в выходные,"20 апр 2024, 10:50","
Отключения коснутся жителей Октябрьского и Ленинского районов. Список домов
В связи с техническими работами МУП ""Водоканал"" уведомляет о предстоящем отключении водоснабжения 20 и 21 апреля в нескольких домах Кирова. Это временное неудобство затронет жителей Октябрьского и Ленинского районов.
20 апреля с 00:00 до 19:00 воды не будет по следующим адресам: ул. Фрезерная д. 9-13, 15-16, 22-25, 27, 31-32; ул. Широковская д. 6, 1; пер. 4 Дачный д. 87, 95, 97-107.
Также 20 апреля с 09:00 до 19:00 отключения затронут ул. Советская д. 1-14 и ул. Садовая д. 1-4.
21 апреля с 09:00 до 19:00 без воды будут ул. Ленина д. 196, 198, 198А, 198Б и ул. Рудницкого д. 5, 10Б, 12. 
С 09:30 до 19:00 - ул. Комсомольская д. 52А, 54, 54А, 56, 56А, 58, 60, 93А, 93Б, 95, 97.
Для удобства жителей будет организован подвоз воды. Дополнительную информацию о местах подвоза можно получить, перейдя по ссылке. МУП ""Водоканал"" приносит извинения за временные неудобства. https://www.vdkanal.ru/punkt-podvoza-vody 
 
",Автор: Редакция,https://gorodkirov.ru/news/sotni-kirovchan-ostanutsya-bez-vody-v-vyhodnye/
В Кирове временно перекроют три улицы,"20 апр 2024, 10:22","
Это связано с проведением массовых спортивных мероприятий
Администрация Кирова сообщила жителям о перекрытии нескольких участков дорожной сети города. По информации, предоставленной в пресс-центре мэрии, автомобилистов предупредили о временных ограничениях, которые будут действовать 20 апреля с 10:00 до 15:00 (с 19 апреля с 20:00 – запрет на парковку) на трех участках:
- улица Труда от улицы Казанской до набережной Грина;
- улица МОПРа от улицы Казанской до набережной Грина;
- улица Набережная Грина от улицы Труда до улицы МОПРа.
Введение запрета на движение транспорта связано с проведением массовых спортивных мероприятий в Александровском саду.
 
",Автор: Редакция,https://gorodkirov.ru/news/v-kirove-vremenno-perekroyut-tri-ulicy/
Вятская кунсткамера может стать музеем-рестораном,"20 апр 2024, 09:00","
Однако до полного восстановления здания остается не меньше года
Прямо сейчас ведется активный ремонт кровли, после чего будут начаты работы по обновлению фасада здания.  Планируется завершить фасадные работы к осени 2024 года, после чего начнутся внутренние ремонтные работы.
Как  сообщает  bnkirov.ru, полное восстановление здания Вятской кунсткамеры запланировано к весне 2025 года. Здесь планируется открыть ""Музей-ресторан"", где будет представлена история Вятки, включая историю этого старинного здания, через фотографии. В меню будут представлены блюда вятской кухни, а официанты ресторана также будут выступать в роли экскурсоводов.
Известно, что здание взято в аренду на 25 лет за сумму в 2,1 миллиона рублей. В будущем будет рассматриваться возможность продления аренды или выкупа здания.
Фото: Ольга Демина
",Автор: Редакция,https://gorodkirov.ru/news/vyatskaya-kunstkamera-mozhet-stat-muzeem-restoranom/
Кировские школьники стали лучшими в России на олимпиаде по обществознанию,"20 апр 2024, 06:00","
В Пскове завершился финальный этап Всероссийской олимпиады по обществознанию.  Кировскую область представляли двое старшеклассников, рассказали в областном правительстве.
Всего до заключительной стадии олимпиады были допущены 300 школьников со всей страны - из них только двое кировчан. Наш регион представляли Владислав Черепанов, ученик 9 класса Вятской православной гимназии, и Мария Ширяева, ученица 10 класса Кировского физико-математического лицея.
Финальный этап состоял из трех туров: двух письменных и одного устного. По итогам олимпиады были определены 26 победителей - одним из которых стал Владислав, и 120 призеров - в число которых вошла Мария.
Дипломы победителей и призеров Всероссийской олимпиады позволят ребятам в дальнейшем поступить без вступительных экзаменов в любой российский вуз.
Фото: Правительство Кировской области 
",Автор: Редакция,https://gorodkirov.ru/news/kirovskie-shkolniki-stali-luchshimi-v-rossii-na-olimpiade-po-obshestvoznaniyu/
В Кирове возбудили уголовное дело по факту противоправных действий у Вечного огня,"19 апр 2024, 23:00","
Накануне в кировских соцсетях появилась информация о подростках, которые выбрали в качестве места для своих тусовок Вечный огонь в Парке Победы.  Следственный комитет возбудил уголовное дело по факту совершения противоправных действий, сообщили в ведомстве.
Как сообщили очевидцы, молодые люди вели себя вызывающе, оскорбляли прохожих и прикуривали сигареты от Вечного огня. Инцидент попал в поле зрения Следственного комитета, в котором уже сообщили, что в отношении пока неустановленных лиц возбуждено уголовное дело по статье ст. 354.1 УК РФ «Реабилитация нацизма».
Сейчас следователи устанавливают личности всех причастных к преступлению, а также выясняют все обстоятельства произошедшего.

По данному факту следователями СК возбуждено уголовное дело. Проводится комплекс следственных действий, направленных на выяснение всех обстоятельств произошедшего, проверяются данные, изложенные в публикации. Личности участников инцидента устанавливаются, - сообщили в областном следкоме.

Фото: Злой кировчанин 
",Автор: Редакция,https://gorodkirov.ru/news/v-kirove-vozbudili-ugolovnoe-delo-po-faktu-protivopravnyh-dejstvij-u-vechnogo-ognya/
В кировском сквере Трудовой славы подрядчик ремонтирует стелу,"19 апр 2024, 22:00","
В сквере Трудовой славы подрядная организация приступила к работам по устранению недочетов на стеле, которая была установлена в прошлом году, сообщили в городской администрации. 
Напомним, стелу «Киров — город трудовой доблести» торжественно открыли 22 декабря 2023 года в сквере Трудовой славы на пересечении Карла Маркса и Профсоюзной. На обелиске нанесены изображения с архивных фото кировчан – работников кировских предприятий. Спустя несколько дней на ней уже обнаружили первые дефекты, тогда же чиновники сообщили, что подрядчик все исправит в рамках гарантийных обязательств при наступлении хорошей погоды.
Сейчас работы начались, до 2 мая рабочие проведут очистку от окислов, сделают полировку и подкрасят элементы графической части пилона. Также будут заделаны швы между крупной плиткой и бортовым камнем и восстановлено лакокрасочное покрытие ограждения лестницы. Также возле стелы будут проведены дополнительные работы по благоустройству, отдельные участки выровняют при помощи чернозема и высадят газон.
Фото: Администрация города Кирова 
",Автор: Редакция,https://gorodkirov.ru/news/v-kirovskom-skvere-trudovoj-slavy-podryadchik-remontiruet-stelu/
В Кировской области ветеринары помогли собаке-сладкоежке,"19 апр 2024, 21:00","
В поселке Рудничный Верхнекамского района ветеринарная помощь потребовалась 4-летней лайке по кличке Ума, у собаки болели ушли, рассказали в сообществе Слободской ветеринарной станции. 
Оказалось, хозяева Умы регулярно обращаются к ветеринарам и не только для того, чтобы сделать животному профилактические прививки. Здоровье подводит их любимого питомца, а все из-за того, что собака очень любит сладкое.
Вот и в этот раз после любимого лакомства у лайки заболели уши - покраснели ушные раковины и появился сильный зуд. Ветеринарный врач поставил собаке диагноз - аллергический отит, животному оказали помощь, назначили лечение, а его хозяевам дали строгие рекомендации по кормлению, чтобы в дальнейшем избежать подобных проблем.
Фото: Слободская ветеринарная станция 
",Автор: Редакция,https://gorodkirov.ru/news/v-kirovskoj-oblasti-veterinary-pomogli-sobake-sladkoezhke/
"В Кировской области задержали браконьеров, которые делали из лосей колбасу","19 апр 2024, 16:17","
Четверо браконьеров незаконно убили четырех лосей в Кировской области.  Об этом сообщили в УМВД по Кировской области.
В начале марта в лесу около деревни Арситово нашли тушу лося с пулевым отверстием в шкуре. Отстрел был совершен незаконно, поскольку в то время охота на животное еще не была разрешена. Министерство охраны окружающей среды оценило ущерб на сумму не менее 80 тысяч рублей. Было возбуждено уголовное дело.
Оперативники установили личности нарушителей. Один из них живет в Санчурском районе, остальные три – в республике Марий-Эл.


– В марте трое из фигурантов, действуя по предварительному сговору, находились в лесу на охоте, в ходе которой был совершен отстрел двух лосей. Одно из животных, получив ранение, ушло от охотников и в дальнейшем скончалось. Тушу другого мужчины доставили в дом к своему приятелю, где разделали и разделили мясо, – пояснили в пресс-службе ведомства.

Позже выяснилось, что подозреваемые также причастны к двух других незаконным отстрелам лосей в середине и конце февраля. Полиция при поддержке СОБР Росгвардии провели обыск жилья браконьеров. Там они обнаружили останки лосей, колбасу из их мяса в морозильнике, а также шесть ружий, два из которых не зарегистрированы, а также боеприпасы к ним. Оружие направили на баллистическое исследование.


В итоге было возбуждено уголовное дело по ч. 2 ст. 258 УК РФ (""Незаконная охота, совершенная группой лиц по предварительному сговору"").

– В настоящий момент расследование уже в форме предварительного следствия продолжается. Двое из фигурантов допрошены в качестве подозреваемых. Ведется сбор доказательной базы виновности мужчин в совершении преступлений, устанавливаются все обстоятельства произошедшего, – заключили в УМВД.

Фото: УМВД по Кировской области 
",Автор: Данил Попов,https://gorodkirov.ru/news/v-kirovskoj-oblasti-zaderzhali-brakonerov-kotorye-delali-iz-losej-kolbasu/
Из-за спортивного мероприятия в Кирове перекроют три улицы,"19 апр 2024, 14:59","
В субботу, 20 апреля, к веерной лестнице на набережной Грина съедутся воспитанники спортивных школ, чтобы принять участие мероприятии, посвященном  открытию спортивной программы на выставке «Россия».  В связи с этим в Кирове ограничат проезд по трем улицам. 
С 10:00 до 15:00 водители не смогут проехать по трем участкам: 
- по улице Труда от улицы Казанской до набережной Грина;
- по улице МОПРа от улицы Казанской до набережной Грина;
- по улице Набережная Грина от улицы Труда до улицы МОПРа.
Кроме того, с 20:00 19 апреля до 15:00 20 апреля там запретят остановку и стоянку транспорта. 
Начало самого мероприятия запланировано на 12:00 20 апреля. В режиме «онлайн» легендарные спортсмены не только обратятся к россиянам, но и проведут массовую зарядку. 
Ранее мы писали, что в Кирове почти на два месяца перекрыли пешеходную часть набережной Грина. 
Фото: Администрация города Кирова
",Автор: Екатерина Рожкова,https://gorodkirov.ru/news/iz-za-sportivnogo-meropriyatiya-v-kirove-perekroyut-tri-ulicy/
"После аварии мотоциклисту провели 17 операций, чтобы не ампутировать ногу","19 апр 2024, 14:23","


  Четыре года назад 22-летний молодой человек попал на мотоцикле в ДТП и получил множественные травмы.
 
 Большая часть из них были связаны с левой голенью, и встал вопрос об ампутации ноги. Однако врачи решили, что будут бороться и и восстановят длину поврежденной конечности методом замещения дефектов большеберцовой кости малоберцовой костью.


 Многое зависело от самого пациента которому предстоял длительный курс лечения. На данный момент мотоциклист пережил уже 17 операций.



  – Я уже был морально готов к тому, что ногу придется ампутировать, но на протезном предприятии мне изготовили специальную обувь, чтобы компенсировать укорочение ноги, которое к тому моменту составляло уже 4 см. Постепенно я увеличивал нагрузку на ногу – сперва ходил по 1,5-2 км один раз в сутки, потом два раза в сутки, потом все больше и больше
 
 , – рассказывает Александр.


 Осложнило ситуацию и то, что во время лечения мужчина неудачно упал, и удар снова пришелся на слабое место. Тогда ему пришлось повторно ставить спице-стержневый аппарат.



  –  Я думал, что моя реабилитация скоро завершится, но пришлось начинать все сначала. Самое главное в процессе восстановления – это постоянная нагрузка, и чем больше, тем лучше. Препараты и питание тоже имеют значение
 
 , - заключил пациент.


 Врачи дают ему благоприятный прогноз - он сможет полноценно ходить, но о мотоцикле, как и о спорте ему придется забыть.


 Фото редакции портала ""Город Киров.RU""

",Автор: Екатерина Рожкова,https://gorodkirov.ru/news/posle-avarii-motociklistu-proveli-17-operacij-chtoby-ne-amputirovat-nogu/
Курьер-мошенник из Татарстана забрал у пенсионерки из Кировской области последние деньги,"19 апр 2024, 12:27","
В полицию Вятскополянского района обратилась местная жительница 1960 года рождения. Она отдала курьеру 285 тысяч рублей, чтобы посодействовать якобы организованной проверке со стороны ФСБ по поводу перевода денег в поддержку террористов.
По словам женщины, она поверила поступившей информации из-за сообщения, которое получила от человека с фотографией своего директора по работе. Она сняла деньги со своего счета, пришла на обозначенное место и отдала деньги курьеру. 
По факту мошенничества в крупном размере возбудили уголовное дело и в скором времени вышли на лжеинкассатора. Им оказался житель города Кукмора Республики Татарстан, 1992 года рождения, который решил через интернет заработать. Он приехал за деньгами на такси, а затем, перечислив часть работодателю, оставил остальное себе. Часть суммы он уже возместил, но обещал погасить все полностью. 
Ранее мы писали, что россиян предупреждают о фейковом приложении. 
Фото редакции портала ""Город Киров.RU"" 
",Автор: Екатерина Рожкова,https://gorodkirov.ru/news/kurer-moshennik-iz-tatarstana-zabral-u-pensionerki-iz-kirovskoj-oblasti-poslednie-dengi/
В Ставропольском крае потерпел крушение самолет с четырьмя летчиками,"19 апр 2024, 10:43","
В результате крушения самолета в Ставропольском крае погиб один из четырех членов экипажа.  Об этом сообщил Владимир Владимиров, губернатор региона.
В своем Telegram-канале он написал, что одного летчиков нашли в Красногвардейском округе живым. Однако позже он скончался.
Двоих человек доставили в медицинское учреждение, им уже оказывается вся необходимая помощь. Владимиров учтоняет, что в данный момент их жизни ничего не угрожает, с ними работают краевые медики.

– Пациентов в ближайшее время перевезут в военный госпиталь, который находится за пределами нашего региона, –  написал  губернатор края.

Поиски четвертого члена экипажа продолжаются.
Самолет Ту-22М3 ВКС России потерпел крушение в Ставропольском крае сегодня утром, 19 апреля. Он возвращался после выполнения боевой задачи. В результате падения разрушений на земле и жертв среди населения нет.

Фото: Владимир Владимиров 
",Автор: Данил Попов,https://gorodkirov.ru/news/v-stavropolskom-krae-poterpel-krushenie-samolet-s-chetyrmya-letchikami/
"В Кировской области мужчина на ""Ладе Калине"" сбил школьницу","19 апр 2024, 10:27","
За четверг, 18 апреля, в Кировской области случилось сразу два ДТП со сбитыми пешеходами, и оба в вечернее время. Так, около 17:55 на улице Первомайской в Кирово-Чепецке 45-летний мужчина на ""Ладе Калине"" сбил 13-летнюю девочку. Школьница выжила, но получила травмы. 
Другая авария произошла уже в Кирове - около 19:15 на улице Парковой у дома №30А. Там ""Тойота"" с 68-летним мужчиной за рулем наехала на 24-летнего мужчину. Молодой человек тоже отделался травмами. 
Ранее мы писали, что в Кирове ищут самокатчика, который сбил женщину с собакой.  Кировчанка с собакой вышла из припаркованной машины и ослабила поводок, чтобы питомец мог добежать до забора. И как раз в этот момент по тротуару пронесся мужчина на самокате, который зацепил натянутую веревку. В итоге женщина упала и получила травмы. Подробности в нашем материале. 
Фото: ГИБДД по Кировской области 
",Автор: Екатерина Рожкова,https://gorodkirov.ru/news/v-kirovskoj-oblasti-muzhchina-na-lade-kaline-sbil-shkolnicu/
На выходные в Киров придет лето: какую погоду обещают синоптики,"19 апр 2024, 09:05","


  Когда с утра за окном всего плюс 7 градусов, сложно представить, что уже днем столбик термометра подскочит больше, чем в два раза и достигнет плюс 22 градусов.
 
 Однако именно такой сценарий синоптики обещают жителям Кирова на пятницу, 19 апреля.


 Жаркая температура простоит в городе всего один день, и в субботу столбик термометра опустится до плюс 15-17 градусов. Но и этот показатель можно назвать роскошью для апреля. Тем более, погода установится солнечная и без осадков. А ночью температура будет колебаться от плюс 6 до плюс 13 градусов.



  -  19-20 апреля не исключены кратковременные дожди. Это будет сказываться близость атмосферных фронтов южного циклона, который передвигается с юга на северо-восток центра России
 
 , - добавили в
 
  кировском ЦГМС
 
 .


 Кстати, в южных районах области воздух до плюс 24 градусов.


 Ранее мы писали, какая погода ожидается в Кирове на майские праздники. Кировчан ждут
 
  температурные качели
 
 .


 Фото редакции портала ""Город Киров.RU""

",Автор: Екатерина Рожкова,https://gorodkirov.ru/news/na-vyhodnye-v-kirov-pridet-leto-kakuyu-pogodu-obeshayut-sinoptiki/
"В Кирове ищут самокатчика, который сбил женщину с собакой","19 апр 2024, 07:50","
Инцидент произошел на Октябрьском проспекте в Кирове. Женщина с собакой только вышла из припаркованной машины и ослабила поводок, чтобы питомец мог добежать до забора. Однако в этот момент по тротуару несся мужчина на самокате, который не заметил натянутую веревку и наехал на нее. 
В итоге женщину дернуло так, что она упала и получила травмы. Сам мужчину, судя по всему уехал с места происшествия, и теперь его разыскивает полиция. 
Добавим, что с приходом теплой погоды ДТП с самокатами заметно участились. Так. в среду, 17 апреля, на улице Дзержинского в Кирове сбили 19-летнюю девушку на самокате. Юная участница дорожного движения столкнулась с автомобилем «Киа». Судя по фото, произошла авария на пешеходном переходе. В итоге девушка получила травмы, Подробности вы можете узнать в нашем материале. 
Фото: Baza
",Автор: Екатерина Рожкова,https://gorodkirov.ru/news/v-kirove-ishut-samokatchika-kotoryj-sbil-zhenshinu-s-sobakoj/
До кладбищ Кирова пустят дополнительные автобусы,"19 апр 2024, 06:00","
В церковные праздники в Кирове до мест захоронений будут курсировать специальные автобусы.  Кировчане смогут таким образом добраться до Макарьевского, Филейского и Федяковского кладбища, сообщили в АТП.
Спецрейсы организуют 9 мая в День поминовения усопших воинов, 14 мая, когда православные будут отмечать Радоницу, в Троицкую субботу 22 июня и Покровскую субботу 12 октября.
Рейсы до Макарьевского кладбища будут осуществляться по следующему маршруту:

Туда: улица Профсоюзная, 78 — остановка «Улица Профсоюзная» (у старого моста) — остановка «Улица Проезжая» — остановка» Троицкая церковь» — Макарьевское кладбище;
Обратно: Макарьевское кладбище — остановка «Улица Проезжая» — остановка «Улица Профсоюзная» — остановка «КРИН» — остановка «Теруправление Октябрьского района».

Автобус до Филейского кладбища будет отправляться от остановки «Площадь ХХ партсъезда» у дома на ул. Ленинградская, 2.
До Федяковского кладбища можно будет доехать с остановки «Улица Кирова» в 7:00, 8:00, 9:00, 10:30, 12:00, 13:30. Обратно тем же маршрутом в 7:30, 8:30, 9:30, 11:30, 13:00, 14:00.
Фото: Администрация города Кирова 
",Автор: Редакция,https://gorodkirov.ru/news/do-kladbish-kirova-pustyat-dopolnitelnye-avtobusy/
Кировская школьница сняла ролик о Кирове и выиграла путевку в «Артек»,"18 апр 2024, 23:00","
Кировская школьница Вика Трегубова сняла фильм о родном городе для конкурса #КиноАртек, жюри высоко оценило ее работу и поощрило поездкой в Международный детский центр в Крыму, рассказали в дирекции по подготовке к 650-летию Кирова. 
Для участия в конкурсе нужно было снять 5-минутное видео на одну из предложенных тем. Юная кировчанка выбрала «Мой край - моя гордость», в ней надо было рассказать о достопримечательностях своей малой родины. Снимать ролик Вике помогали двоюродные братья, один - выполнял работу оператора, а второй - поддерживал сестру в кадре.
По сюжету ребята играют в настольную игру, где нужно искать парные карточки с изображениями различных достопримечательностей Кирова, при совпадении герои перемещаются в то место, которое изображено на фотографии. Таким образом школьники рассказали зрителям о Спасском соборе, набережной Грина, улице Спасской и палеонтологическом музее.
На конкурс со всей страны поступили фильмы от 227 подростков, юная кировчанка вошла в число 24 победителей и получила возможность побывать в «Артеке».
Посмотреть видео можно на  странице  дирекции по подготовке к 650-летию Кирова.
Фото: видео Вики Трегубовой 
",Автор: Редакция,https://gorodkirov.ru/news/kirovskaya-shkolnica-snyala-rolik-o-kirove-i-vyigrala-putevku-v-artek/
